Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 0.048966	Val Loss: 1.386808	Val Acc: 54
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 0.010261	Val Loss: 0.041586	Val Acc: 98
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 0.044795	Val Loss: 0.039531	Val Acc: 98
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 0.007864	Val Loss: 0.022260	Val Acc: 99
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 0.008096	Val Loss: 0.020033	Val Acc: 99
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 0.017633	Val Loss: 0.020590	Val Acc: 99
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 0.007692	Val Loss: 0.011137	Val Acc: 99
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 0.028669	Val Loss: 0.051190	Val Acc: 98
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 0.011967	Val Loss: 0.011905	Val Acc: 99
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 0.022984	Val Loss: 0.005788	Val Acc: 100
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 0.001871	Val Loss: 0.004927	Val Acc: 100
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 0.023962	Val Loss: 0.014466	Val Acc: 99
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 0.004189	Val Loss: 0.006223	Val Acc: 99
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 0.005644	Val Loss: 0.005842	Val Acc: 100
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 0.001596	Val Loss: 0.005677	Val Acc: 99
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 0.004952	Val Loss: 0.005333	Val Acc: 99
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 0.002731	Val Loss: 0.004377	Val Acc: 99
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 0.003574	Val Loss: 0.005968	Val Acc: 99
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 0.005244	Val Loss: 0.004628	Val Acc: 99
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 0.000980	Val Loss: 0.004734	Val Acc: 99
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 0.001560	Val Loss: 0.003261	Val Acc: 100
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 0.001914	Val Loss: 0.004637	Val Acc: 99
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 0.024653	Val Loss: 0.007339	Val Acc: 99
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 0.005194	Val Loss: 0.005088	Val Acc: 99
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 0.000900	Val Loss: 0.006845	Val Acc: 99
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 0.004203	Val Loss: 0.004651	Val Acc: 100
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 0.005483	Val Loss: 0.007739	Val Acc: 99
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 0.000413	Val Loss: 0.002864	Val Acc: 100
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 0.003281	Val Loss: 0.001807	Val Acc: 100
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 0.007904	Val Loss: 0.003786	Val Acc: 100
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 0.002464	Val Loss: 0.003946	Val Acc: 99
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 0.000604	Val Loss: 0.004955	Val Acc: 100
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 0.001913	Val Loss: 0.003092	Val Acc: 99
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 0.009973	Val Loss: 0.002933	Val Acc: 100
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 0.000294	Val Loss: 0.002070	Val Acc: 100
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 0.001169	Val Loss: 0.002797	Val Acc: 100
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 0.002149	Val Loss: 0.001083	Val Acc: 100
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 0.000546	Val Loss: 0.006213	Val Acc: 99
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 0.022424	Val Loss: 0.008704	Val Acc: 99
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 0.023451	Val Loss: 0.006532	Val Acc: 99
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 0.000373	Val Loss: 0.002354	Val Acc: 100
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 0.001144	Val Loss: 0.004692	Val Acc: 99
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 0.004381	Val Loss: 0.001459	Val Acc: 100
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 0.000897	Val Loss: 0.001178	Val Acc: 100
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 0.001580	Val Loss: 0.000596	Val Acc: 100
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 0.000283	Val Loss: 0.001352	Val Acc: 100
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 0.000712	Val Loss: 0.000962	Val Acc: 100
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 0.001119	Val Loss: 0.001360	Val Acc: 100
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 0.000277	Val Loss: 0.001560	Val Acc: 100
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 0.000218	Val Loss: 0.001016	Val Acc: 100
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 0.000782	Val Loss: 0.001064	Val Acc: 100
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 0.001159	Val Loss: 0.001522	Val Acc: 100
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 0.001103	Val Loss: 0.001349	Val Acc: 100
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 0.000218	Val Loss: 0.000961	Val Acc: 100
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 0.000981	Val Loss: 0.000976	Val Acc: 100
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 0.000377	Val Loss: 0.001091	Val Acc: 100
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 0.000442	Val Loss: 0.001121	Val Acc: 100
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 0.000423	Val Loss: 0.001156	Val Acc: 100
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 0.000173	Val Loss: 0.000889	Val Acc: 100
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 0.000298	Val Loss: 0.001057	Val Acc: 100
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 0.000479	Val Loss: 0.001346	Val Acc: 100
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 0.000344	Val Loss: 0.000912	Val Acc: 100
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 0.000883	Val Loss: 0.000779	Val Acc: 100
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 0.000226	Val Loss: 0.001090	Val Acc: 100
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 0.000627	Val Loss: 0.001747	Val Acc: 100
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 0.002187	Val Loss: 0.001598	Val Acc: 100
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 0.000129	Val Loss: 0.000785	Val Acc: 100
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 0.000716	Val Loss: 0.000712	Val Acc: 100
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 0.000313	Val Loss: 0.001431	Val Acc: 100
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 0.000626	Val Loss: 0.000765	Val Acc: 100
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 0.000540	Val Loss: 0.001757	Val Acc: 100
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 0.000147	Val Loss: 0.000778	Val Acc: 100
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 0.000629	Val Loss: 0.000689	Val Acc: 100
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 0.000228	Val Loss: 0.001043	Val Acc: 100
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 0.000512	Val Loss: 0.000714	Val Acc: 100
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 0.000679	Val Loss: 0.000976	Val Acc: 100
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 0.000203	Val Loss: 0.006237	Val Acc: 99
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 0.000185	Val Loss: 0.001999	Val Acc: 100
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 0.015630	Val Loss: 0.001645	Val Acc: 100
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 0.000296	Val Loss: 0.001531	Val Acc: 100
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 0.000157	Val Loss: 0.001243	Val Acc: 100
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 0.000211	Val Loss: 0.001097	Val Acc: 100
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 0.000218	Val Loss: 0.001728	Val Acc: 100
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 0.000257	Val Loss: 0.000530	Val Acc: 100
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 0.000223	Val Loss: 0.000652	Val Acc: 100
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 0.000292	Val Loss: 0.000843	Val Acc: 100
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 0.000129	Val Loss: 0.001058	Val Acc: 100
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 0.000553	Val Loss: 0.001173	Val Acc: 100
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 0.000183	Val Loss: 0.000739	Val Acc: 100
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 0.001951	Val Loss: 0.000829	Val Acc: 100
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 0.000148	Val Loss: 0.000847	Val Acc: 100
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 0.000381	Val Loss: 0.000950	Val Acc: 100
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 0.000717	Val Loss: 0.000679	Val Acc: 100
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 0.000256	Val Loss: 0.000772	Val Acc: 100
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 0.000485	Val Loss: 0.001107	Val Acc: 100
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 0.000184	Val Loss: 0.001082	Val Acc: 100
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 0.000235	Val Loss: 0.000837	Val Acc: 100
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 0.000971	Val Loss: 0.000532	Val Acc: 100
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 0.000144	Val Loss: 0.000889	Val Acc: 100
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 0.000179	Val Loss: 0.001067	Val Acc: 100
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 0.000339	Val Loss: 0.000600	Val Acc: 100
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 0.000125	Val Loss: 0.000732	Val Acc: 100
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 0.000114	Val Loss: 0.000609	Val Acc: 100
